info_set_raw,cards_cluster,betting_stage,actions_history,num_previous_actions,last_action,call_probability,fold_probability,raise_probability
"{""cards_cluster"":0,""history"":[]}",0,pre_flop,{},0,none,0.47334844075006677,0.30782328977667317,0.21882826947326003
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""call""]}]}",0,pre_flop,{'pre_flop': ['call']},1,call,0.6018901004277135,0.0,0.39810989957228643
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""raise""]}]}",0,pre_flop,{'pre_flop': ['raise']},1,raise,0.36585862477371833,0.0,0.6341413752262817
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""call"",""raise""]}]}",0,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.3044537155557953,0.08937985786277453,0.6061664265814302
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",0,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.12170748991180783,0.02409094190762743,0.8542015681805648
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""raise"",""call""]}]}",0,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,1.0,0.0,0.0
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""call"",""call""]}]}",0,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.8271826570691251,0.17281734293087495,0.0
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",0,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",0,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.2782419313967253,0.0,0.7217580686032747
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",0,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.4569239265063219,0.0,0.543076073493678
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",0,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.5838669502771426,0.0,0.41613304972285736
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",0,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,1.0,0.0,0.0
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",0,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,0.444519159794377,0.0,0.555480840205623
"{""cards_cluster"":0,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",0,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.6758718770984571,0.0,0.32412812290154286
"{""cards_cluster"":1,""history"":[]}",1,pre_flop,{},0,none,0.0,0.6295867365197374,0.37041326348026266
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call""]}]}",1,pre_flop,{'pre_flop': ['call']},1,call,0.013516691326186547,0.0,0.9864833086738135
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""raise""]}]}",1,pre_flop,{'pre_flop': ['raise']},1,raise,0.40709783856565673,0.0,0.5929021614343433
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call"",""raise""]}]}",1,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.3755934776207338,0.6244065223792661,0.0
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",1,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.36949923914424154,0.0,0.6305007608557586
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""raise"",""call""]}]}",1,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.17779546374027128,0.0,0.8222045362597288
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call"",""call""]}]}",1,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.8287454258924958,0.09081868563663197,0.08043588847087231
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",1,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.10015869575278301,0.0,0.8998413042472171
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",1,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",1,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.0,0.0,1.0
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",1,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.09926470588235296,0.0,0.9007352941176471
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise""]}]}",1,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise']}",4,raise,0.7197049992572867,0.2802950007427133,0.0
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""raise"",""raise"",""raise"",""call""]}]}",1,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise', 'call']}",4,call,0.28193720670849465,0.0,0.7180627932915054
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""call""]}]}",1,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'call']}",4,call,0.0013721220055640112,0.0,0.998627877994436
"{""cards_cluster"":1,""history"":[{""pre_flop"":[""call"",""raise"",""raise"",""raise"",""call""]}]}",1,pre_flop,"{'pre_flop': ['call', 'raise', 'raise', 'raise', 'call']}",5,call,0.32131775138274704,0.0,0.678682248617253
"{""cards_cluster"":2,""history"":[]}",2,pre_flop,{},0,none,0.4588331071497202,0.0,0.5411668928502797
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call""]}]}",2,pre_flop,{'pre_flop': ['call']},1,call,0.38363380970166194,0.0,0.6163661902983381
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise""]}]}",2,pre_flop,{'pre_flop': ['raise']},1,raise,0.9901851109188002,0.0,0.009814889081199733
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise']}",2,raise,0.7126669411864555,0.0,0.2873330588135445
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'raise']}",2,raise,0.6674191907164514,0.0,0.33258080928354866
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'call']}",2,call,0.09780688356554204,0.0,0.902193116434458
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""call""]}]}",2,pre_flop,"{'pre_flop': ['call', 'call']}",2,call,0.0036992852211003486,0.9607974119544676,0.035503302824432065
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise', 'raise']}",3,raise,0.7708754208754208,0.0,0.2291245791245792
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""raise"",""raise""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'raise', 'raise']}",3,raise,1.0,0.0,0.0
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""raise"",""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['raise', 'raise', 'call']}",3,call,0.2319424625091327,0.0,0.7680575374908672
"{""cards_cluster"":2,""history"":[{""pre_flop"":[""call"",""raise"",""call""]}]}",2,pre_flop,"{'pre_flop': ['call', 'raise', 'call']}",3,call,0.6656211852632432,0.0,0.3343788147367567
